key,pod,container,timestamp_ms,timestamp_utc,cpu_cores,cpu_time_sec,mem_usage_kb,mem_working_kb,rss_kb,logs_bytes,rootfs_bytes
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454804596,2025-09-09T21:53:24.596000+00:00,4.025931,30590.37,0.0,110546132.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454805053,2025-09-09T21:53:25.053000+00:00,4.024353,30592.2,0.0,110546100.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454805604,2025-09-09T21:53:25.604000+00:00,4.025195,30594.4,0.0,110546604.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454806128,2025-09-09T21:53:26.128000+00:00,4.02758,30596.57,0.0,110547124.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454806572,2025-09-09T21:53:26.572000+00:00,4.024201,30598.41,0.0,110546604.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454807053,2025-09-09T21:53:27.053000+00:00,4.023605,30600.26,0.0,110546604.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454807506,2025-09-09T21:53:27.506000+00:00,4.026076,30602.12,0.0,110547108.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454807967,2025-09-09T21:53:27.967000+00:00,4.025534,30604.0,0.0,110546860.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454808417,2025-09-09T21:53:28.417000+00:00,4.02499,30605.79,0.0,110547376.0,0.0,49152.0,189378560.0
util:nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9:nvidia-llama-nemotron-49b-vllm,nvidia-llama-nemotron-49b-vllm-7999497bd9-h2fq9,nvidia-llama-nemotron-49b-vllm,1757454808890,2025-09-09T21:53:28.890000+00:00,4.025354,30607.71,0.0,110547376.0,0.0,49152.0,189378560.0
